key	de
# COMMON
common.back	ZURUECK
common.continue	WEITER
common.cancel	ABBRECHEN
common.ok	OK
common.on	AN
common.off	AUS
common.na	N/V
common.none	KEINE
common.versus	V
common.page	SEITE
common.previous_page	VORHERIGE SEITE
common.next_page	NAECHSTE SEITE
common.no_career_data	KEINE KARRIEREDATEN
common.no_squad_data	KEINE KADERDATEN
common.player_not_available	SPIELER NICHT VERFUEGBAR
common.player	SPIELER
common.budget	BUDGET
common.sort	SORTIEREN
common.sort_by	SORTIEREN NACH
common.value	WERT
common.skill	STAERKE
common.age	ALTER
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	TEAM
col.name	NAME
col.number	NR
col.number_hash	#
col.p	SP
col.w	S
col.d	U
col.l	N
col.gf	TF
col.ga	TG
col.pts	PKT
col.skl	SKL
col.skill	STK
col.pot	POT
col.sta	AUS
col.form	F
col.fit	FIT
col.val	WRT
col.nat	NAT
col.club	VER
col.price	PRS
col.spec	SPZ
col.quality	Q
col.wage	LOHN
col.fee	GEB
col.amount	BTR
col.exp	ABL
col.skill_row	PA TK SC KB KO TE AB
# HOME
home.title	O P E N   S W O S
home.play_match	SPIELEN
home.competitions	WETTBEWERBE
home.multiplayer	MEHRSPIELER
home.team_setup	TEAM ANSICHT
home.options	OPTIONEN
home.career	KARRIERE
home.exit	BEENDEN
home.credit	VON GRZEGORZ KORYCKI
home.continue_prefix	WEITER:
# QUIT
quit.title	BEENDEN
quit.are_you_sure	SICHER?
quit.quit_to_windows	ZU WINDOWS BEENDEN
quit.return_to_game	ZURUECK ZUM SPIEL
# FRIENDLY
friendly.title	FREUNDSCHAFTSSPIEL
friendly.home	HEIM
friendly.away	GAST
friendly.swap_teams	TEAMS TAUSCHEN
friendly.pitch	PLATZ
friendly.opponent	GEGNER
friendly.half_length	HALBZEITLAENGE
friendly.game_speed	SPIELTEMPO
friendly.kick_off	ANSTOSS
friendly.context	FREUNDSCHAFT
# VERSUS
versus.play	SPIELEN
versus.view_result	ERGEBNIS ANSEHEN
# STADIUM
stadium.title	TEAMS
stadium.kick_off	ANSTOSS
stadium.edit_lineup	AUFSTELLUNG BEARBEITEN
# OPTIONS
opt.title	OPTIONEN
opt.page	SEITE
opt.language	SPRACHE
opt.half_length	HALBZEITLAENGE
opt.game_speed	SPIELTEMPO
opt.opponent	GEGNER
opt.pitch	PLATZ
opt.skill_scaling	STAERKE-SKALIERUNG
opt.skill_scaling_hint	ORIGINALGETREUE SWOS SPIELERPREIS-SKALIERUNG
opt.all_teams_equal	ALLE TEAMS GLEICH
opt.all_teams_equal_hint	GLEICHT DIE STAERKE DER SPIELERTEAMS AN
opt.pre_match_menus	VORSPIEL-MENUES
opt.player_fatigue	SPIELER-ERMUEDUNG
opt.energy_bar	ENERGIELEISTE
opt.music	MUSIK
opt.music_hint	AMIGA / PC / EIGENE MENUEMUSIK
opt.sound	TON
opt.sound_hint	PC- ODER AMIGA-SPIELGERAEUSCHE
opt.display	ANZEIGE
opt.display_hint	F11 WECHSELT  ALT+ENTER VOLLBILD
# OPTION VALUES
val.pitch_none	(KEINE)
val.pitch_random	ZUFALL
val.opponent_ai	KI
val.opponent_player2	SPIELER 2  (WASD)
val.opponent_demo	DEMO  (KI V KI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	EIGENE
val.music_off	AUS
val.length_whole_match_seconds	%dS ECHT  (GANZES SPIEL)
val.length_whole_match_minutes	%d MIN ECHT  (GANZES SPIEL)
val.display_windowed	FENSTER
val.display_full_fill	VOLLBILD FUELLEN
val.display_full_integer	VOLLBILD GANZZAHL
# LOCAL MULTIPLAYER
mp.title	LOKALER MEHRSPIELER
mp.controls_hint	SPIELER 1: PFEILE+LEER   SPIELER 2: WASD+SHIFT
mp.start	2-SPIELER-SPIEL STARTEN
# PICKERS
pick.continent	KONTINENT
pick.country	LAND
pick.your_team	DEIN TEAM
pick.all_countries	ALLE LAENDER
pick.all	ALLE
pick.select_country	LAND WAEHLEN
pick.select_continent	KONTINENT WAEHLEN
pick.select_your_team	DEIN TEAM WAEHLEN
pick.home_team	HEIMTEAM
pick.away_team	GASTTEAM
pick.nothing_to_choose	NICHTS ZUR AUSWAHL
pick.item	EINTRAG
pick.more_down	MEHR v
# DRAW CEREMONY
draw.title_suffix	AUSLOSUNG
# PLAY AGAIN
playagain.title	SPIELENDE
playagain.play_again	NOCHMAL SPIELEN
playagain.exit	BEENDEN
# COMPETITIONS HUB
comp.title	WETTBEWERBE
comp.new_league	NEUE LIGA
comp.new_cup	NEUER POKAL
comp.new_tournament	NEUES TURNIER
comp.preset_competition	VORGABE-WETTBEWERB
comp.new_career	NEUE KARRIERE
comp.load_game	SPIEL LADEN
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NEUE LIGA
setup.cup_title	NEUER POKAL
setup.tournament_title	NEUES TURNIER
setup.size	GROESSE
setup.teams_suffix	TEAMS
setup.entrants	TEILNEHMER
setup.entrants_same_division	GLEICHE LIGA
setup.entrants_same_nation	GLEICHES LAND
setup.entrants_random	ZUFALL
setup.rounds	RUNDEN
setup.rounds_single	EINFACH
setup.rounds_double	DOPPELT
setup.groups	GRUPPEN
setup.groups_of_4_suffix	4ER-GRUPPEN
setup.create_league	LIGA ERSTELLEN
setup.create_cup	POKAL ERSTELLEN
setup.create_tournament	TURNIER ERSTELLEN
# CAREER SETUP
career.title	NEUE KARRIERE
